row,obs,id,task,alt,choice,none,brand_1,brand_2,ftlabel,cocoa_low,cocoa_high,price,female,age_26
1,1,1,1,1,1,0,0,1,-1,1,0,0.89,0,0
2,1,1,1,2,0,0,-1,-1,-1,1,0,1.99,0,0
3,1,1,1,3,0,1,0,0,0,0,0,0,0,0
4,2,1,2,1,0,0,0,1,-1,-1,-1,1.99,0,0
5,2,1,2,2,1,0,-1,-1,-1,1,0,1.19,0,0
6,2,1,2,3,0,1,0,0,0,0,0,0,0,0
7,3,1,3,1,0,0,1,0,1,-1,-1,1.99,0,0
8,3,1,3,2,0,0,-1,-1,-1,-1,-1,1.49,0,0
9,3,1,3,3,1,1,0,0,0,0,0,0,0,0
10,4,1,4,1,0,0,1,0,-1,0,1,0.89,0,0
11,4,1,4,2,0,0,-1,-1,-1,-1,-1,1.49,0,0
12,4,1,4,3,1,1,0,0,0,0,0,0,0,0
13,5,1,5,1,1,0,0,1,1,1,0,0.89,0,0
14,5,1,5,2,0,0,-1,-1,1,1,0,0.99,0,0
15,5,1,5,3,0,1,0,0,0,0,0,0,0,0
16,6,1,6,1,0,0,0,1,1,0,1,1.49,0,0
17,6,1,6,2,1,0,1,0,1,-1,-1,1.19,0,0
18,6,1,6,3,0,1,0,0,0,0,0,0,0,0
19,7,1,7,1,0,0,0,1,-1,0,1,1.99,0,0
20,7,1,7,2,1,0,1,0,1,-1,-1,0.89,0,0
21,7,1,7,3,0,1,0,0,0,0,0,0,0,0
22,8,1,8,1,0,0,0,1,1,1,0,1.19,0,0
23,8,1,8,2,0,0,1,0,-1,0,1,0.99,0,0
24,8,1,8,3,1,1,0,0,0,0,0,0,0,0
25,9,1,9,1,0,0,0,1,-1,-1,-1,0.99,0,0
26,9,1,9,2,1,0,1,0,1,1,0,1.49,0,0
27,9,1,9,3,0,1,0,0,0,0,0,0,0,0
28,10,1,10,1,0,0,1,0,1,1,0,1.99,0,0
29,10,1,10,2,0,0,-1,-1,1,0,1,0.89,0,0
30,10,1,10,3,1,1,0,0,0,0,0,0,0,0
31,11,1,11,1,0,0,1,0,-1,0,1,1.19,0,0
32,11,1,11,2,0,0,-1,-1,1,0,1,1.99,0,0
33,11,1,11,3,1,1,0,0,0,0,0,0,0,0
34,12,1,12,1,0,0,0,1,1,-1,-1,0.99,0,0
35,12,1,12,2,1,0,-1,-1,-1,-1,-1,0.89,0,0
36,12,1,12,3,0,1,0,0,0,0,0,0,0,0
37,13,1,13,1,0,0,0,1,-1,0,1,1.49,0,0
38,13,1,13,2,0,0,-1,-1,1,0,1,0.99,0,0
